Recency,Frequency,Monetary,AvgBasketValue,AvgItemsPerBasket,UniqueProducts,CancellationRate,CustomerLifespanDays
113,0.6931471805599453,4.594210345751749,4.594210345751749,3.091042453358316,1.0986122886681098,0.0,0
75,2.3978952727983707,6.2766434893416445,3.9908341858524357,2.6878474937846906,2.8903717578961645,0.0,260
23,1.9459101490553132,5.986075049823544,4.20680481499515,2.614959778036198,2.0794415416798357,0.0,335
58,2.302585092994046,5.984666492606983,3.80737828291199,2.614959778036198,2.772588722239781,0.0,256
22,2.833213344056216,6.653159759518145,3.8997353200889875,2.752864216892003,3.332204510175204,0.0,303
148,1.3862943611198906,5.183187059294405,4.0957324874969485,2.9444389791664403,2.1972245773362196,0.25,82
14,3.5553480614894135,9.536505385494335,6.012523593544827,4.702083358387872,3.713572066704308,0.0285714285714285,303
66,0.6931471805599453,3.5539184686798193,3.5539184686798193,2.0794415416798357,0.6931471805599453,0.0,0
163,0.6931471805599453,4.4309358393767555,4.4309358393767555,3.091042453358316,1.0986122886681098,0.0,0
6,3.871201010907891,11.797762920332456,7.947961241574219,6.576588094590617,3.713572066704308,0.0,328
269,0.6931471805599453,4.733035556985987,4.733035556985987,3.091042453358316,1.3862943611198906,0.0,0
93,0.6931471805599453,4.544145484150317,4.544145484150317,2.8903717578961645,1.0986122886681098,0.0,0
98,0.6931471805599453,3.5773890780805733,3.5773890780805733,2.3978952727983707,1.3862943611198906,0.0,0
40,2.302585092994046,6.26097628434972,4.078911264377177,2.8903717578961645,2.9444389791664403,0.0,288
102,0.6931471805599453,4.803939074160646,4.803939074160646,2.9444389791664403,1.3862943611198906,0.0,0
13,3.4011973816621555,9.43471916007122,6.0696580659792,4.627336481445352,3.713572066704308,0.09375,322
200,0.6931471805599453,2.6602595372658615,2.6602595372658615,2.0794415416798357,0.6931471805599453,0.0,0
28,2.6390573296152584,5.957752632622446,3.423360217953144,2.4976456755654297,2.995732273553991,0.0,279
8,3.332204510175204,9.127876819754942,5.834859468818664,4.531005232153964,3.6375861597263857,0.0,236
83,1.6094379124341003,5.8027828071613445,4.425505097655346,2.8622008809294686,2.302585092994046,0.2,224
61,3.295836866004329,9.109949708341816,5.8546133643587845,4.3911197817991505,3.6375861597263857,0.0,259
16,3.332204510175204,9.210126349074915,5.916886663993596,4.520176973154698,3.713572066704308,0.0,299
53,1.0986122886681098,4.775250456359692,4.0905038628361625,2.4849066497880004,1.0986122886681098,0.3333333333333333,30
9,2.1972245773362196,6.158545554485651,4.093802748801048,2.7647455447787554,2.833213344056216,0.0,271
14,3.7376696182833684,11.736349536934842,8.023097329316142,6.691236079583506,3.713572066704308,0.0681818181818181,335
12,2.833213344056216,6.535546014124832,3.784487884891563,2.6611332813144584,3.2188758248682006,0.0,297
106,1.3862943611198906,5.424861907872993,4.335022374827557,2.512305623976115,1.6094379124341003,0.0,209
