CustomerID,Recency,Frequency,Monetary,AvgBasketValue,AvgItemsPerBasket,UniqueProducts,CancellationRate,CustomerLifespanDays,Cluster,Persona,Cluster_DBSCAN,DBSCAN_Status
12346,113,1.0,97.91,97.91,21.0,2,0.0,0,2,At-Risk / Churned Customers,0,Normal
12347,75,10.0,531.0,53.1,13.7,17,0.0,260,1,Regular Customers,0,Normal
12348,23,6.0,396.85,66.14166666666667,12.666666666666666,7,0.0,335,1,Regular Customers,0,Normal
12349,58,9.0,396.29,44.032222222222224,12.666666666666666,15,0.0,256,1,Regular Customers,0,Normal
12350,22,16.0,774.23,48.389375,14.6875,27,0.0,303,1,Regular Customers,0,Normal
12351,148,3.0,177.25,59.083333333333336,18.0,8,0.25,82,3,High Cancellation Rate (Risk Watch),0,Normal
12352,14,34.0,13855.44,407.5129411764706,109.17647058823528,40,0.0285714285714285,303,0,"Champions (Recent, Frequent, High-Spend)",1,Normal
12353,66,1.0,33.95,33.95,7.0,1,0.0,0,2,At-Risk / Churned Customers,0,Normal
12354,163,1.0,83.00999999999999,83.00999999999999,21.0,2,0.0,0,2,At-Risk / Churned Customers,0,Normal
12355,6,47.0,132953.59,2828.7997872340425,717.0851063829788,40,0.0,328,0,"Champions (Recent, Frequent, High-Spend)",2,Normal
12356,269,1.0,112.64,112.64,21.0,3,0.0,0,2,At-Risk / Churned Customers,0,Normal
12357,93,1.0,93.08,93.08,17.0,2,0.0,0,2,At-Risk / Churned Customers,0,Normal
12358,98,1.0,34.78,34.78,10.0,3,0.0,0,2,At-Risk / Churned Customers,0,Normal
12359,40,9.0,522.73,58.08111111111111,17.0,18,0.0,288,1,Regular Customers,0,Normal
12360,102,1.0,120.98999999999998,120.98999999999998,18.0,3,0.0,0,2,At-Risk / Churned Customers,0,Normal
12361,13,29.0,12514.45,431.53275862068966,101.24137931034484,40,0.09375,322,0,"Champions (Recent, Frequent, High-Spend)",1,Normal
12362,200,1.0,13.3,13.3,7.0,1,0.0,0,2,At-Risk / Churned Customers,0,Normal
12363,28,13.0,385.74,29.67230769230769,11.153846153846152,19,0.0,279,1,Regular Customers,0,Normal
12364,8,27.0,9207.45,341.0166666666667,91.85185185185183,37,0.0,236,0,"Champions (Recent, Frequent, High-Spend)",1,Normal
12365,83,4.0,330.22,82.555,16.5,9,0.2,224,3,High Cancellation Rate (Risk Watch),0,Normal
12366,61,26.0,9043.84,347.84000000000003,79.73076923076923,37,0.0,259,0,"Champions (Recent, Frequent, High-Spend)",1,Normal
12367,16,27.0,9996.86,370.2540740740741,90.85185185185183,40,0.0,299,0,"Champions (Recent, Frequent, High-Spend)",1,Normal
12368,53,2.0,117.54,58.77,11.0,2,0.3333333333333333,30,3,High Cancellation Rate (Risk Watch),-1,Anomaly
12369,9,8.0,471.74,58.9675,14.875,16,0.0,271,1,Regular Customers,0,Normal
12370,14,41.0,125034.07,3049.6114634146343,804.3170731707318,40,0.0681818181818181,335,0,"Champions (Recent, Frequent, High-Spend)",2,Normal
12371,12,16.0,688.21,43.013125,13.3125,24,0.0,297,1,Regular Customers,0,Normal
12372,106,3.0,225.98,75.32666666666667,11.333333333333334,4,0.0,209,1,Regular Customers,0,Normal
12373,10,4.0,272.29,68.07249999999999,22.25,10,0.0,183,1,Regular Customers,0,Normal
12374,15,13.0,616.21,47.40076923076924,14.076923076923077,23,0.0,304,1,Regular Customers,0,Normal
12375,40,1.0,117.96,117.96,42.0,5,0.0,0,2,At-Risk / Churned Customers,0,Normal
12376,79,3.0,227.7,75.89999999999999,26.33333333333333,11,0.0,286,1,Regular Customers,0,Normal
12377,34,30.0,11127.87,370.929,105.83333333333331,40,0.032258064516129,312,0,"Champions (Recent, Frequent, High-Spend)",1,Normal
12378,143,8.0,555.11,69.38875,19.0,16,0.0,132,1,Regular Customers,0,Normal
12379,98,10.0,604.89,60.489,12.1,18,0.0,154,1,Regular Customers,0,Normal
12380,9,50.0,152271.85,3045.437,793.16,40,0.0384615384615384,337,0,"Champions (Recent, Frequent, High-Spend)",2,Normal
12381,6,30.0,11898.5,396.6166666666667,104.1,40,0.0,292,0,"Champions (Recent, Frequent, High-Spend)",1,Normal
12382,4,3.0,296.0,98.66666666666669,20.666666666666668,6,0.25,305,3,High Cancellation Rate (Risk Watch),0,Normal
12383,90,8.0,523.1899999999999,65.39874999999999,16.875,17,0.0,169,1,Regular Customers,0,Normal
12384,107,2.0,107.16,53.58,14.5,3,0.0,219,2,At-Risk / Churned Customers,0,Normal
12385,66,10.0,507.54,50.754000000000005,12.0,16,0.0,259,1,Regular Customers,0,Normal
12386,21,33.0,10549.22,319.6733333333333,87.42424242424242,40,0.0,343,0,"Champions (Recent, Frequent, High-Spend)",1,Normal
12387,112,5.0,193.59,38.718,12.8,9,0.0,231,1,Regular Customers,0,Normal
12388,7,4.0,174.5,43.625,15.5,12,0.2,230,3,High Cancellation Rate (Risk Watch),0,Normal
12389,51,13.0,637.71,49.05461538461539,14.0,21,0.0,277,1,Regular Customers,0,Normal
12390,58,1.0,58.19,58.19,22.0,4,0.0,0,2,At-Risk / Churned Customers,0,Normal
12391,260,1.0,32.62,32.62,11.0,3,0.0,0,2,At-Risk / Churned Customers,0,Normal
12392,22,4.0,215.18,53.795,16.25,9,0.0,295,1,Regular Customers,0,Normal
12393,5,46.0,115730.31,2515.876304347826,691.1086956521739,40,0.0212765957446808,329,0,"Champions (Recent, Frequent, High-Spend)",2,Normal
12394,15,9.0,484.18,53.79777777777778,14.88888888888889,20,0.1,225,1,Regular Customers,0,Normal
12395,57,8.0,372.89,46.61125,11.75,9,0.0,276,1,Regular Customers,0,Normal
12396,30,27.0,8711.35,322.6425925925926,85.5925925925926,40,0.0357142857142857,244,0,"Champions (Recent, Frequent, High-Spend)",1,Normal
12397,276,1.0,11.06,11.06,7.0,1,0.0,0,2,At-Risk / Churned Customers,0,Normal
12398,281,1.0,41.42,41.42,12.0,2,0.0,0,2,At-Risk / Churned Customers,0,Normal
12399,12,13.0,875.48,67.34461538461538,18.307692307692307,24,0.0,190,1,Regular Customers,0,Normal
12400,82,13.0,692.6,53.27692307692308,15.692307692307692,26,0.0,261,1,Regular Customers,0,Normal
